Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-011198,2019-03,01/01/2015 00:01,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5017,S 37TH ST,16, , ,5017,37TH,890961.8,997996.5
19-012439,2019-03,01/01/2018 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5059,NORTHLAND AVE,52, , ,5059,NORTHLAND,889010.6,1032911
19-014516,2019-03,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5706,THEKLA AVE,72, , ,5706,THEKLA,891454.8,1043887
19-014332,2019-03,01/01/2018 12:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,1415,PENROSE ST,65, , ,1415,PENROSE,905091.9,1031807
19-011956,2019-03,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5824,SALOMA AVE,72, , ,5824,SALOMA,889128,1043091
19-000994,2019-03,01/01/2019 10:04,Y, , ,1, ,183999,4,DRUGS-SALE/OTHR UNSPEC DRUG,919,N JEFFERSON AVE,59, , ,919,JEFFERSON,902219.7,1021301
19-010448,2019-03,01/01/2019 13:12,Y, , ,1, ,171300,4,SEX OFFNS-STATUATORY RAPE/SECOND,1000,WASHINGTON AVE,35, , ,1000,WASHINGTON,0,0
19-000346,2019-03,01/03/2019 00:50,Y, , ,1, ,211000,2,DUI-DRVING WHILE INTOXICATED,2300,S KINGSHIGHWAY BLVD,13, , ,5249,WILSON,886603.8,1011974
19-013699,2019-03,01/03/2019 10:00,Y, , ,1, , 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,7937,N BROADWAY,74, , ,7937,BROADWAY,897043.3,1046872
19-012029,2019-03,01/04/2019 07:00,Y, , ,1, , 51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3100,WYOMING ST,30, , ,3100,WYOMING,896202.6,1006618
19-010890,2019-03,01/05/2019 09:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,2601,WHITTIER ST,57, , ,2601,WHITTIER,895657.7,1028977
