Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-016789,2018-04,01/01/2015 08:00,Y, , ,1, , 91124,3,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",3401,HUMPHREY ST,25, , ,243,RIPA,894880.7,1006677
18-018797,2018-04,01/01/2015 15:28,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,919,N JEFFERSON AVE,59, ,@CPD,919,JEFFERSON,902219.7,1021301
18-017473,2018-04,01/01/2016 00:01,Y, , ,1, ,175400,3,SEX OFFNS-SX MISCONDUCT/SECOND,3700,S COMPTON AVE,19, , ,3700,COMPTON,0,0
18-014919,2018-04,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1026,VERONICA AVE,74, , ,1026,VERONICA,896036.3,1050295
18-017915,2018-04,01/01/2018 07:32,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5461,DELMAR BLVD,49, , ,5461,DELMAR,883561.5,1027076
18-018273,2018-04,01/01/2018 08:00,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4843,FARLIN AVE,69, , ,4843,FARLIN,893066,1035691
18-017912,2018-04,01/02/2018 12:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
18-017908,2018-04,01/03/2018 09:40,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,707,N KINGSHIGHWAY BLVD,51, ,@MOBIL - 707 N KINGSHIGHWAY,707,KINGSHIGHWAY,887661.3,1026321
18-017910,2018-04,01/03/2018 17:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-017906,2018-04,01/04/2018 18:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
18-017907,2018-04,01/04/2018 23:09,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
18-017909,2018-04,01/06/2018 14:27,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
18-019076,2018-04,01/10/2018 21:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3414,MANHATTAN AVE,10, , ,3414,MANHATTAN,872918.3,1008689
18-015880,2018-04,01/11/2018 01:55,Y, , ,1, ,122000,6,EMBEZZLEMENT-VALUE UNDER $150,1105,RIVERVIEW BLVD,74, , ,1105,RIVERVIEW,895409.7,1052273
18-019232,2018-04,01/11/2018 19:03,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2017,E OBEAR AVE,66, , ,2017,OBEAR,903209.7,1033402
18-019236,2018-04,01/12/2018 13:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4445,ATHLONE AVE,68, , ,4445,ATHLONE,898336.7,1035383
