Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-024940,2019-05,01/01/2015 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4940,BERTHOLD AVE,40, , ,4940,BERTHOLD,886931.9,1017291
19-022635,2019-05,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5268,THRUSH AVE,72, , ,5268,THRUSH,891887.7,1043099
19-024575,2019-05,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4894,FARLIN AVE,69, , ,4894,FARLIN,892505.1,1035792
19-022434,2019-05,01/01/2019 12:00,Y, , ,1, , 52312,1,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,4950,WINONA AVE,7, , ,4950,WINONA,884196.3,1003839
19-004349,2019-05,01/18/2019 16:30, , , ,-1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,3832,BLAINE,29, , ,3832,BLAINE,0,0
19-024096,2019-05,01/20/2019 08:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4581,CLARENCE AVE,68, , ,4581,CLARENCE,898765.1,1036573
19-022459,2019-05,01/22/2019 13:55,Y, , ,1, ,112020,1,FRAUD-CREDIT DEVICE/UNDER $150,4654,MICHIGAN AVE,17, , ,4654,MICHIGAN,894503.4,997314.8
19-007717,2019-05,01/23/2019 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,6200,DELMAR BLVD,48, ,@1 BARNES HOSPITAL PLZ,4900, ,0,0
19-020214,2019-05,02/01/2019 12:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3623,ALBERTA ST,16, , ,3623,ALBERTA,892839.8,1002194
19-022287,2019-05,02/01/2019 18:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5801,WILSON AVE,12, , ,5801,WILSON,881898.8,1013889
19-023123,2019-05,02/05/2018 14:00,Y, , ,1, , 65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999",2865,HAMILTON AVE,50, , ,1915,OLIVE,883718.6,1037033
19-014156,2019-05,02/10/2019 00:01,Y, , ,1, ,262300,6,PORNAGRAPHY-PBLIC DSPLAY SEX MATERIALS,4066,LABADIE AVE,56, , ,4066,LABADIE,897126.2,1029557
19-006850,2019-05,02/13/2019 17:00,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1004,GOODFELLOW BLVD,38, , ,4949, ,881392.6,1029561
19-020734,2019-05,02/15/2019 00:01,Y, , ,1, , 43026,1,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,7613,ALABAMA AVE,1, , ,7613,ALABAMA,887576,989539
19-022866,2019-05,02/20/2019 10:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",3830,ARSENAL ST,15, , ,3830,ARSENAL,892427.8,1008504
19-008024,2019-05,02/21/2019 14:12,Y, , ,1, ,263299,0,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,8044,BUSIEK AVE,0, , ,8044,BUSIEK,871324.3,1062301
19-023626,2019-05,02/22/2019 07:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,6455,MANCHESTER AVE,43,RESTARAUNT DEPOT, ,6455,MANCHESTER,878450.1,1015037
19-008726,2019-05,02/25/2019 06:30,Y, , ,1, ,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,400,CONVENTION PZ,35, ,N 4TH AND CONVENTION PLAZA,400,CONVENTION,909665.2,1018855
19-021147,2019-05,02/27/2019 09:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1836,OFALLON ST,61, ,NUISANCE ABATEMENT PROPERTY,1836,OFALLON,905123.5,1022138
19-009241,2019-05,03/01/2019 02:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1819,COLE,61, , ,1819,COLE,0,0
19-023407,2019-05,03/01/2019 09:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,4030,CHOUTEAU AVE,39, , ,4302,FAIRFAX,891892.9,1017508
19-018483,2019-05,03/01/2019 09:00, , , ,-1, ,151110,0,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2073,POMMARDE DR,0, , ,2073,POMMARDE,830157.9,1042886
19-021665,2019-05,03/01/2019 12:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4526,CARTER AVE,69, , ,4526,CARTER,895989.3,1036205
19-021960,2019-05,03/02/2019 07:00,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,709,BITTNER ST,74, , ,709,BITTNER,897577.6,1047902
19-018774,2019-05,03/02/2019 19:10,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4156,FARLIN AVE,68, , ,4156,FARLIN,897643.5,1032911
19-022433,2019-05,03/04/2019 12:00,Y, , ,1, ,112020,5,FRAUD-CREDIT DEVICE/UNDER $150,770,N EUCLID AVE,53, , ,770,EUCLID,888814.2,1026829
19-011254,2019-05,03/04/2019 20:00,Y, , ,1, ,183999,4,DRUGS-SALE/OTHR UNSPEC DRUG,919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,919,JEFFERSON,902219.7,1021301
19-009900,2019-05,03/05/2019 08:30, , , ,1, , 71030,4,AUTO THEFT-PERM RETNT/JOY RIDE,2148,FARRAR,65, , ,2148,FARRAR,0,0
19-009900,2019-05,03/05/2019 08:30, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2148,FARRAR,65, , ,2148,FARRAR,0,0
19-024431,2019-05,03/05/2019 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,4540,UNION BLVD,71, , ,4540,UNION,891638.8,1039764
19-021153,2019-05,03/08/2019 14:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",911,LOCUST ST,35, , ,911,LOCUST,907782.4,1018354
19-021202,2019-05,03/12/2019 09:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4033,WESTMINSTER PL,38, , ,4033,WESTMINSTER,893509,1022787
19-021106,2019-05,03/12/2019 13:13,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1515,N 13TH ST,60, ,NUISANCE ABATEMENT PROPERTY,1515,13TH,907555.6,1022698
