Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-007548,2019-02,01/01/2011 13:14,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,8312,PEGGY CT,74, , ,8312,PEGGY,895522.6,1048588
19-004001,2019-02,01/01/2013 00:01,Y, , ,1, ,175100,3,SEX OFFNS-SX MISCONDUCT/SUS<17&VIC 14-15/NO FO,2900,SALENA ST,22, , ,2900,SALENA,0,0
19-002859,2019-02,01/01/2016 00:01,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,UNKNOWN,0, , ,1100,ANGELICA,0,0
19-006935,2019-02,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4263,SAN FRANCISCO AVE,68, , ,4263,SAN FRANCISCO,896982.1,1032787
19-007835,2019-02,01/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,3910,ASHLAND AVE,56, , ,3910,ASHLAND,898789.7,1029857
19-008628,2019-02,01/01/2019 08:00,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,RIDGE AVE / UNION BLVD,51, , , , ,885946.5,1030459
19-009305,2019-02,01/01/2019 08:00,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,1643,N 17TH ST,60, , ,1643,17TH,906252.7,1023717
19-008600,2019-02,01/01/2019 12:00,Y, , ,1, , 72113,5,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,COTE BRILLIANTE AVE / UNION BL,52, , , , ,886997.3,1032218
19-005990,2019-02,01/01/2019 12:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4117,SHREVE AVE,69, , ,4117,SHREVE,893585.1,1035877
19-008668,2019-02,01/01/2019 17:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,5350,MAFFITT AVE,50, , ,5350,MAFFITT,887335.5,1033991
19-007310,2019-02,01/02/2019 19:30,Y, , ,1, , 43026,3,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4558,COTE BRILLIANTE AVE,25, , ,2721,MICHIGAN,891883.3,1029268
